"v1","v2","v3","v4","v5"
"ABANDON","ABANDONS","ABANDONED","ABANDONED","ABANDONING"
"ABASE","ABASES","ABASED","ABASED","ABASING"
"ABASH","ABASHES","ABASHED","ABASHED","ABASHING"
"ABATE","ABATES","ABATED","ABATED","ABATING"
"ABBREVIATE","ABBREVIATES","ABBREVIATED","ABBREVIATED","ABBREVIATING"
"ABDICATE","ABDICATES","ABDICATED","ABDICATED","ABDICATING"
"ABDUCT","ABDUCTS","ABDUCTED","ABDUCTED","ABDUCTING"
"ABET","ABETS","ABETTED","ABETTED","ABETTING"
"ABHOR","ABHORS","ABHORRED","ABHORRED","ABHORRING"
"ABIDE","ABIDES","ABIDED","ABIDED","ABIDING"
"ABIDE","ABIDES","ABODE","ABODE","ABIDING"
"ABIRRITATE","ABIRRITATES","ABIRRITATED","ABIRRITATED","ABIRRITATING"
"ABJURE","ABJURES","ABJURED","ABJURED","ABJURING"
"ABLATE","ABLATES","ABLATED","ABLATED","ABLATING"
"ABNEGATE","ABNEGATES","ABNEGATED","ABNEGATED","ABNEGATING"
"ABOLISH","ABOLISHES","ABOLISHED","ABOLISHED","ABOLISHING"
"ABOMINATE","ABOMINATES","ABOMINATED","ABOMINATED","ABOMINATING"
"ABORT","ABORTS","ABORTED","ABORTED","ABORTING"
"ABOUND","ABOUNDS","ABOUNDED","ABOUNDED","ABOUNDING"
"ABOUT-SHIP","ABOUT-SHIPS","ABOUT-SHIPPED","ABOUT-SHIPPED","ABOUT-SHIPPING"
"ABOUT-TURN","ABOUT-TURNS","ABOUT-TURNED","ABOUT-TURNED","ABOUT-TURNING"
"ABOUTFACE","ABOUTFACES","ABOUTFACED","ABOUTFACED","ABOUTFACING"
"ABRADE","ABRADES","ABRADED","ABRADED","ABRADING"
"ABREACT","ABREACTS","ABREACTED","ABREACTED","ABREACTING"
"ABRIDGE","ABRIDGES","ABRIDGED","ABRIDGED","ABRIDGING"
"ABROGATE","ABROGATES","ABROGATED","ABROGATED","ABROGATING"
"ABSCESS","ABSCESSES","ABSCESSED","ABSCESSED","ABSCESSING"
"ABSCISE","ABSCISES","ABSCISED","ABSCISED","ABSCISING"
"ABSCOND","ABSCONDS","ABSCONDED","ABSCONDED","ABSCONDING"
"ABSEIL","ABSEILS","ABSEILED","ABSEILED","ABSEILING"
"ABSENT","ABSENTS","ABSENTED","ABSENTED","ABSENTING"
"ABSOLVE","ABSOLVES","ABSOLVED","ABSOLVED","ABSOLVING"
"ABSORB","ABSORBS","ABSORBED","ABSORBED","ABSORBING"
"ABSQUATULATE","ABSQUATULATES","ABSQUATULATED","ABSQUATULATED","ABSQUATULATING"
"ABSTAIN","ABSTAINS","ABSTAINED","ABSTAINED","ABSTAINING"
"ABSTRACT","ABSTRACTS","ABSTRACTED","ABSTRACTED","ABSTRACTING"
"ABUSE","ABUSES","ABUSED","ABUSED","ABUSING"
"ABUT","ABUTS","ABUTTED","ABUTTED","ABUTTING"
"ABYE","ABYS","ABOUGHT","ABOUGHT","ABYING"
"ACCEDE","ACCEDES","ACCEDED","ACCEDED","ACCEDING"
"ACCELERATE","ACCELERATES","ACCELERATED","ACCELERATED","ACCELERATING"
"ACCENT","ACCENTS","ACCENTED","ACCENTED","ACCENTING"
"ACCENTUATE","ACCENTUATES","ACCENTUATED","ACCENTUATED","ACCENTUATING"
"ACCEPT","ACCEPTS","ACCEPTED","ACCEPTED","ACCEPTING"
"ACCESS","ACCESSES","ACCESSED","ACCESSED","ACCESSING"
"ACCESSION","ACCESSIONS","ACCESSIONED","ACCESSIONED","ACCESSIONING"
"ACCESSORISE","ACCESSORISES","ACCESSORISED","ACCESSORISED","ACCESSORISING"
"ACCESSORIZE","ACCESSORIZES","ACCESSORIZED","ACCESSORIZED","ACCESSORIZING"
"ACCLAIM","ACCLAIMS","ACCLAIMED","ACCLAIMED","ACCLAIMING"
"ACCLIMATE","ACCLIMATES","ACCLIMATED","ACCLIMATED","ACCLIMATING"
"ACCLIMATISE","ACCLIMATISES","ACCLIMATISED","ACCLIMATISED","ACCLIMATISING"
"ACCLIMATIZE","ACCLIMATIZES","ACCLIMATIZED","ACCLIMATIZED","ACCLIMATIZING"
"ACCOMMODATE","ACCOMMODATES","ACCOMMODATED","ACCOMMODATED","ACCOMMODATING"
"ACCOMPANY","ACCOMPANIES","ACCOMPANIED","ACCOMPANIED","ACCOMPANYING"
"ACCOMPLISH","ACCOMPLISHES","ACCOMPLISHED","ACCOMPLISHED","ACCOMPLISHING"
"ACCORD","ACCORDS","ACCORDED","ACCORDED","ACCORDING"
"ACCOST","ACCOSTS","ACCOSTED","ACCOSTED","ACCOSTING"
"ACCOUNT","ACCOUNTS","ACCOUNTED","ACCOUNTED","ACCOUNTING"
"ACCOUTRE","ACCOUTRES","ACCOUTRED","ACCOUTRED","ACCOUTRING"
"ACCREDIT","ACCREDITS","ACCREDITED","ACCREDITED","ACCREDITING"
"ACCRETE","ACCRETES","ACCRETED","ACCRETED","ACCRETING"
"ACCRUE","ACCRUES","ACCRUED","ACCRUED","ACCRUING"
"ACCULTURATE","ACCULTURATES","ACCULTURATED","ACCULTURATED","ACCULTURATING"
"ACCUMULATE","ACCUMULATES","ACCUMULATED","ACCUMULATED","ACCUMULATING"
"ACCUSE","ACCUSES","ACCUSED","ACCUSED","ACCUSING"
"ACCUSTOM","ACCUSTOMS","ACCUSTOMED","ACCUSTOMED","ACCUSTOMING"
"ACE","ACES","ACED","ACED","ACING"
