"word","count"
"THE",22038615
"BE",12545825
"AND",10741073
"OF",10343885
"A",10144200
"IN",6996437
"TO",6332195
"HAVE",4303955
"TO",3856916
"IT",3872477
"I",3978265
"THAT",3430996
"FOR",3281454
"YOU",3081151
"HE",2909254
"WITH",2683014
"ON",2485306
"DO",2573587
"SAY",1915138
"THIS",1885366
"THEY",1865580
"AT",1767638
"BUT",1776767
"WE",1820935
"HIS",1801708
"FROM",1635914
"THAT",1712406
"NOT",1638830
"N'T",1619007
"BY",1490548
"SHE",1484869
"OR",1379320
"AS",1296879
"WHAT",1181023
"GO",1151045
"THEIR",1083029
"CAN",1022775
"WHO",1018283
"GET",992596
"IF",933542
"WOULD",925515
"HER",969591
"ALL",892102
"MY",919821
"MAKE",857168
"ABOUT",874406
"KNOW",892535
"WILL",824568
"AS",829018
"UP",795534
"ONE",768232
"TIME",764657
"THERE",784528
"YEAR",769254
"SO",756550
"THINK",772787
"WHEN",678626
"WHICH",685982
"THEM",677870
"SOME",674193
"ME",709623
"PEOPLE",691468
"TAKE",670745
"OUT",678603
"INTO",668172
"JUST",677711
"SEE",663645
"HIM",677707
"YOUR",659622
"COME",628254
"COULD",617932
"NOW",605997
"THAN",579757
"LIKE",568850
"OTHER",547799
"HOW",538893
"THEN",543977
"ITS",539719
"OUR",525107
"TWO",511027
"MORE",517536
"THESE",513864
"WANT",514972
"WAY",470401
"LOOK",491707
"FIRST",463566
"ALSO",464606
"NEW",435993
"BECAUSE",438539
"DAY",432773
"MORE",420170
"USE",420781
"NO",402222
"MAN",409760
"FIND",395203
"HERE",412315
"THING",400724
"GIVE",384503
"MANY",385348
"WELL",411776
"ONLY",379574
"THOSE",378007
"TELL",388155
"ONE",369553
"VERY",391821
"HER",397950
"EVEN",361067
"BACK",367844
"ANY",348100
"GOOD",353973
"WOMAN",341422
"THROUGH",340921
"US",351088
"LIFE",333085
"CHILD",333849
"THERE",333433
"WORK",318210
"DOWN",329409
"MAY",324569
"AFTER",311902
"SHOULD",310265
"CALL",308050
"WORLD",303506
"OVER",300349
"SCHOOL",304183
"STILL",296953
"TRY",294023
"IN",285035
"AS",281483
"LAST",289843
"ASK",284632
"NEED",276744
"TOO",280396
"FEEL",275214
"THREE",266744
"WHEN",268219
"STATE",272193
"NEVER",262584
"BECOME",259102
"BETWEEN",264158
"HIGH",255936
"REALLY",263414
"SOMETHING",254910
"MOST",246360
"ANOTHER",240646
"MUCH",244507
"FAMILY",243267
"OWN",240452
"OUT",242443
"LEAVE",240482
"PUT",237480
"OLD",236577
"WHILE",234555
"MEAN",242198
"ON",236980
"KEEP",231760
"STUDENT",255047
"WHY",235442
"LET",240300
"GREAT",225005
"SAME",222836
"BIG",227169
"GROUP",229435
"BEGIN",218617
"SEEM",219627
"COUNTRY",223138
"HELP",216082
"TALK",229429
"WHERE",213744
"TURN",221392
"PROBLEM",217728
"EVERY",212739
"START",213952
"HAND",225247
"MIGHT",209059
"AMERICAN",214968
"SHOW",208037
"PART",207861
"ABOUT",208550
"AGAINST",204379
"PLACE",202427
"OVER",208260
"SUCH",207065
"AGAIN",206895
"FEW",197266
"CASE",200773
"MOST",197086
"WEEK",199268
"COMPANY",203345
"WHERE",194427
"SYSTEM",200175
"EACH",196522
"RIGHT",205250
"PROGRAM",195985
"HEAR",196070
"SO",191893
"QUESTION",192070
"DURING",190729
"WORK",187533
"PLAY",188328
"GOVERNMENT",191314
"RUN",187325
"SMALL",185463
"NUMBER",186005
"OFF",183854
"ALWAYS",179474
"MOVE",179388
"LIKE",182341
"NIGHT",184511
"LIVE",176144
"MR",188555
"POINT",177481
"BELIEVE",178397
"HOLD",177368
"TODAY",183724
"BRING",174366
"HAPPEN",182714
"NEXT",176306
"WITHOUT",172448
"BEFORE",172769
"LARGE",175611
"ALL",177317
"MILLION",176895
"MUST",171043
"HOME",170527
"UNDER",164766
"WATER",167666
"ROOM",172472
"WRITE",161824
"MOTHER",169407
"AREA",165812
"NATIONAL",166359
"MONEY",164794
"STORY",163582
"YOUNG",160011
"FACT",164401
"MONTH",162685
"DIFFERENT",162411
"LOT",169570
"RIGHT",163259
"STUDY",174069
"BOOK",154013
"EYE",169150
"JOB",154743
"WORD",152891
"THOUGH",152182
"BUSINESS",154468
"ISSUE",156417
"SIDE",152559
"KIND",155032
"FOUR",150646
"HEAD",160131
"FAR",148621
"BLACK",150718
"LONG",149050
"BOTH",146338
"LITTLE",149658
"HOUSE",149251
"YES",157364
"AFTER",142289
"SINCE",141264
"LONG",142007
"PROVIDE",150879
"SERVICE",146122
"AROUND",143766
"FRIEND",142697
"IMPORTANT",144194
"FATHER",145051
"SIT",147185
"AWAY",144713
"UNTIL",140819
"POWER",141357
"HOUR",138955
"GAME",146311
"OFTEN",140731
"YET",135484
"LINE",135986
"POLITICAL",144437
"END",134104
"AMONG",138192
"EVER",135774
"STAND",140937
"BAD",134910
"LOSE",134102
"HOWEVER",142282
"MEMBER",134731
"PAY",133133
"LAW",133706
"MEET",128737
"CAR",133571
"CITY",132684
"ALMOST",127907
"INCLUDE",133563
"CONTINUE",126029
"SET",127369
"LATER",126495
"COMMUNITY",133057
"MUCH",126029
"NAME",127139
"FIVE",125571
"ONCE",126203
"WHITE",126760
"LEAST",123961
"PRESIDENT",134203
"LEARN",124346
"REAL",124187
"CHANGE",123183
"TEAM",131489
"MINUTE",126660
"BEST",124850
"SEVERAL",124039
"IDEA",122140
"KID",126428
"BODY",125165
"INFORMATION",127331
"NOTHING",126717
"AGO",125252
"RIGHT",126278
"LEAD",122691
"SOCIAL",132899
"UNDERSTAND",121354
"WHETHER",121921
"BACK",125006
"WATCH",124976
"TOGETHER",119186
"FOLLOW",119425
"AROUND",122789
"PARENT",119610
"ONLY",117700
"STOP",121481
"FACE",127291
"ANYTHING",120292
"CREATE",119419
"PUBLIC",119825
"ALREADY",115220
"SPEAK",117358
"OTHERS",115771
"READ",114094
"LEVEL",121704
"ALLOW",114892
"ADD",117842
"OFFICE",114791
"SPEND",114569
"DOOR",124993
"HEALTH",117762
"PERSON",113650
"ART",117851
"SURE",116186
"SUCH",119125
"WAR",117804
"HISTORY",114904
"PARTY",112962
"WITHIN",114599
"GROW",110020
"RESULT",116277
"OPEN",111857
"CHANGE",112426
"MORNING",114002
"WALK",113787
"REASON",106863
"LOW",108990
"WIN",111478
"RESEARCH",114802
"GIRL",110409
"GUY",110409
"EARLY",108171
"FOOD",107728
"BEFORE",107448
"MOMENT",109720
"HIMSELF",109288
"AIR",105932
"TEACHER",116100
"FORCE",108005
"OFFER",106473
"ENOUGH",105880
"BOTH",106361
"EDUCATION",113731
"ACROSS",105559
"ALTHOUGH",107925
"REMEMBER",106879
"FOOT",107285
"SECOND",103621
"BOY",107447
"MAYBE",108421
"TOWARD",105984
"ABLE",103171
"AGE",103402
"OFF",104122
"POLICY",107601
"EVERYTHING",103591
"LOVE",103681
"PROCESS",107341
"MUSIC",102657
"INCLUDING",103650
"CONSIDER",101987
"APPEAR",100671
"ACTUALLY",105155
"BUY",101105
"PROBABLY",99754
"HUMAN",101224
"WAIT",102463
"SERVE",99660
"MARKET",100435
"DIE",98376
"SEND",96613
"EXPECT",95566
"HOME",97937
"SENSE",95896
"BUILD",96651
"STAY",96933
"FALL",96908
"OH",103613
"NATION",97212
"PLAN",95824
"CUT",96012
"COLLEGE",97038
"INTEREST",96620
"DEATH",93222
"COURSE",96224
"SOMEONE",95608
"EXPERIENCE",98106
"BEHIND",95047
"REACH",92375
"LOCAL",92970
"KILL",92660
"SIX",90571
"REMAIN",91319
"EFFECT",95216
"USE",96564
"YEAH",103389
"SUGGEST",92643
"CLASS",91323
"CONTROL",90301
"RAISE",87036
"CARE",88862
"PERHAPS",87060
"LITTLE",88697
"LATE",86421
"HARD",86817
"FIELD",87243
"ELSE",87876
"PASS",86184
"FORMER",88930
"SELL",87865
"MAJOR",87487
"SOMETIMES",84845
"REQUIRE",89280
"ALONG",84926
"DEVELOPMENT",91995
"THEMSELVES",85256
"REPORT",88138
"ROLE",88666
"BETTER",83895
"ECONOMIC",90392
"EFFORT",86473
"UP",85759
"DECIDE",84035
"RATE",87224
"STRONG",83677
"POSSIBLE",85084
"HEART",84536
"DRUG",86231
"SHOW",86828
"LEADER",85438
"LIGHT",87427
"VOICE",89379
"WIFE",83601
"WHOLE",83756
"POLICE",85880
"MIND",82808
"FINALLY",81951
"PULL",87243
"RETURN",81812
"FREE",82090
"MILITARY",85152
"PRICE",84443
"REPORT",83174
"LESS",82930
"ACCORDING",83773
"DECISION",82429
"EXPLAIN",80797
"SON",80895
